date,open,high,low,close,adjclose,volume
2011-08-16,14700.0,15000.0,14520.0,15000.0,11102.30078125,30042550
2011-08-17,15020.0,15200.0,14820.0,15040.0,11131.908203125,14649850
2011-08-18,14960.0,14980.0,14060.0,14180.0,10495.376953125,35336000
2011-08-19,13760.0,13940.0,13440.0,13600.0,10066.0869140625,28970600
2011-08-22,13680.0,14040.0,13660.0,13820.0,10228.9208984375,20900650
2011-08-23,14000.0,14700.0,13980.0,14460.0,10702.623046875,24617300
2011-08-24,14480.0,14700.0,14000.0,14160.0,10480.57421875,18508650
2011-08-25,14740.0,14760.0,14420.0,14500.0,10732.2265625,19039800
2011-08-26,14340.0,14680.0,14340.0,14520.0,10747.029296875,10612300
2011-08-29,14840.0,14840.0,14480.0,14660.0,10850.6484375,13001850
2011-08-30,14820.0,14960.0,14720.0,14840.0,10983.87890625,12629600
2011-08-31,14940.0,14940.0,14620.0,14880.0,11013.4853515625,14495500
2011-09-01,15180.0,15760.0,14880.0,15420.0,11413.1708984375,35833750
2011-09-02,15300.0,15620.0,15260.0,15380.0,11383.5615234375,12915400
2011-09-05,15100.0,15120.0,14600.0,14620.0,10821.044921875,13853900
2011-09-06,14520.0,14720.0,14200.0,14540.0,10761.83203125,13213350
2011-09-07,14660.0,15560.0,14660.0,15460.0,11442.7724609375,17512500
2011-09-08,15600.0,16040.0,15560.0,15960.0,11812.8486328125,28730500
2011-09-09,15700.0,16240.0,15540.0,15600.0,11546.39453125,18082650
2011-09-14,15600.0,15620.0,14820.0,15060.0,11146.712890625,27540950
2011-09-15,15680.0,15680.0,15300.0,15420.0,11413.1708984375,21318350
2011-09-16,15880.0,16220.0,15840.0,15960.0,11812.8486328125,23811100
2011-09-19,16000.0,16280.0,15760.0,16160.0,11960.880859375,12327650
2011-09-20,16220.0,16360.0,15920.0,16220.0,12005.2919921875,13997500
2011-09-21,16380.0,16560.0,16020.0,16260.0,12034.8974609375,17063100
2011-09-22,15920.0,16000.0,15560.0,15800.0,11694.4267578125,15331100
2011-09-23,15280.0,15600.0,15020.0,15160.0,11220.7294921875,21822900
2011-09-26,15200.0,15740.0,15180.0,15500.0,11472.380859375,24018800
2011-09-27,16100.0,16100.0,15820.0,16080.0,11901.6689453125,16526300
2011-09-28,16480.0,16500.0,15820.0,16140.0,11946.0791015625,24316950
2011-09-29,16080.0,16960.0,16080.0,16740.0,12390.1689453125,27675450
2011-09-30,16600.0,16800.0,16220.0,16800.0,12434.580078125,25780600
2011-10-04,16100.0,16640.0,15920.0,16560.0,12256.9404296875,32895000
2011-10-05,16480.0,17000.0,16340.0,16840.0,12464.181640625,32102800
2011-10-06,17480.0,17580.0,16840.0,17100.0,12656.623046875,29969000
2011-10-07,17300.0,17620.0,17000.0,17200.0,12730.642578125,26509200
2011-10-10,17560.0,17700.0,17440.0,17480.0,12937.8857421875,17246250
2011-10-11,17700.0,17700.0,17380.0,17620.0,13041.5087890625,22915500
2011-10-12,17440.0,17980.0,17400.0,17960.0,13293.1552734375,21528500
2011-10-13,17960.0,17980.0,17620.0,17800.0,13174.7353515625,16266150
2011-10-14,17420.0,17880.0,17420.0,17720.0,13115.5234375,10850500
2011-10-17,17800.0,17900.0,17620.0,17800.0,13174.7353515625,10675550
2011-10-18,17500.0,17860.0,17420.0,17660.0,13071.107421875,13844300
2011-10-19,17700.0,17720.0,17400.0,17720.0,13115.5234375,10704100
2011-10-20,17720.0,18400.0,17660.0,18140.0,13426.384765625,28436600
2011-10-21,18400.0,18500.0,18140.0,18340.0,13574.4169921875,23307000
2011-10-24,18260.0,18860.0,18220.0,18820.0,13929.6865234375,18769250
2011-10-25,18720.0,19020.0,18700.0,18900.0,13988.900390625,18208000
2011-10-26,18660.0,18920.0,18540.0,18680.0,13826.0673828125,12504750
2011-10-27,18580.0,18780.0,18380.0,18480.0,13678.033203125,17443050
2011-10-28,18560.0,18920.0,18540.0,18900.0,13988.900390625,26884350
2011-10-31,18820.0,19400.0,18660.0,19360.0,14329.369140625,23792400
2011-11-01,19360.0,19980.0,19240.0,19800.0,14655.0390625,30983650
2011-11-02,19400.0,19560.0,19320.0,19420.0,14373.78125,28454600
2011-11-03,19240.0,19420.0,19160.0,19340.0,14314.56640625,16408700
2011-11-04,19660.0,20100.0,19640.0,20100.0,14877.083984375,26704800
2011-11-07,19920.0,20000.0,19720.0,19860.0,14699.4501953125,14018050
2011-11-08,19720.0,19800.0,19300.0,19400.0,14358.974609375,17069900
2011-11-09,19400.0,19760.0,19320.0,19700.0,14581.01953125,19304250
2011-11-10,19340.0,19460.0,18700.0,18700.0,13840.8720703125,31006050
2011-11-11,18900.0,19680.0,18600.0,19660.0,14551.419921875,24246750
2011-11-14,19760.0,20040.0,19740.0,19920.0,14743.861328125,14136050
2011-11-15,19720.0,20000.0,19600.0,19920.0,14743.861328125,11737100
2011-11-16,19900.0,20060.0,19460.0,19500.0,14432.9931640625,16934350
