GPU Model,Best US Price,Lowest-Ever US Price
GeForce RTX 4090,"$1,699","$1,599"
GeForce RTX 4080 Super,$982,$982
GeForce RTX 4080,"$1,029",$989
GeForce RTX 4070 Ti Super,$749,$749
GeForce RTX 4070 Ti,$699,$649
GeForce RTX 4070 Super,$569,$569
GeForce RTX 4070,$544,$514
GeForce RTX 4060 Ti 16GB,$439,$419
GeForce RTX 4060 Ti,$374,$329
GeForce RTX 4060,$279,$279
GeForce RTX 3090 Ti,"$1,465","$1,005"
GeForce RTX 3090,$949,$949
GeForce RTX 3080 Ti,$920,$899
GeForce RTX 3080 12GB,$930,$869
GeForce RTX 3080,$761,$749
GeForce RTX 3070 Ti,$499,$399
GeForce RTX 3070,$464,$354
GeForce RTX 3060 Ti,$391,$299
GeForce RTX 3060 12GB,$288,$249
GeForce RTX 3050,$209,$169
Radeon RX 7900 XTX,$899,$879
Radeon RX 7900 XT,$699,$689
Radeon RX 7900 GRE,$540,$539
Radeon RX 7800 XT,$479,$479
Radeon RX 7700 XT,$379,$379
Radeon RX 7600 XT,$319,$319
Radeon RX 7600,$259,$239
Radeon RX 6950 XT,$549,$549
Radeon RX 6900 XT,$699,$529
Radeon RX 6800 XT,$489,$439
Radeon RX 6800,$359,$359
Radeon RX 6750 XT,$299,$294
Radeon RX 6700 XT,$439,$299
Radeon RX 6700 10GB,N/A,$229
Radeon RX 6650 XT,$219,$209
Radeon RX 6600 XT,$234,$219
Radeon RX 6600,$189,$174
Radeon RX 6500 XT,$139,$129
Radeon RX 6400,$119,$119
Intel Arc A770 16GB,$279,$249
Intel Arc A770 8GB,N/A,$199
Intel Arc A750,$199,$169
Intel Arc A580,$164,$164
Intel Arc A380,$109,$99
