ticker,concept,period_start,period_end,fiscal_year,fiscal_period,form,value_usd,filed
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2016-09-25,2017-09-30,2019,FY,10-K,229234000000,2019-10-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2017-10-01,2017-12-30,2019,Q1,10-Q,88293000000,2019-01-30
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2017-10-01,2017-12-30,2019,FY,10-K,88293000000,2019-10-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2017-10-01,2018-03-31,2019,Q2,10-Q,149430000000,2019-05-01
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2017-10-01,2018-06-30,2019,Q3,10-Q,202695000000,2019-07-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2017-10-01,2018-09-29,2019,FY,10-K,265595000000,2019-10-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2017-10-01,2018-09-29,2020,FY,10-K,265595000000,2020-10-30
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-03-31,2019,Q2,10-Q,61137000000,2019-05-01
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-03-31,2019,FY,10-K,61137000000,2019-10-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,2019,Q3,10-Q,53265000000,2019-07-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,2019,FY,10-K,53265000000,2019-10-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-29,2019,FY,10-K,62900000000,2019-10-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2018-12-29,2019,Q1,10-Q,84310000000,2019-01-30
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2018-12-29,2019,FY,10-K,84310000000,2019-10-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2018-12-29,2020,Q1,10-Q,84310000000,2020-01-29
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2018-12-29,2020,FY,10-K,84310000000,2020-10-30
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2019-03-30,2019,Q2,10-Q,142325000000,2019-05-01
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2019-03-30,2020,Q2,10-Q,142325000000,2020-05-01
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2019-06-29,2019,Q3,10-Q,196134000000,2019-07-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2019-06-29,2020,Q3,10-Q,196134000000,2020-07-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2019-09-28,2019,FY,10-K,260174000000,2019-10-31
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2019-09-28,2020,FY,10-K,260174000000,2020-10-30
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-09-30,2019-09-28,2021,FY,10-K,260174000000,2021-10-29
AAPL,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-03-30,2019,Q2,10-Q,58015000000,2019-05-01
