ticker,concept,period_start,period_end,fiscal_year,fiscal_period,form,value_usd,filed
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2015-12-27,2016-12-31,2018,FY,10-K,4319000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-04-01,2018,FY,10-K,1178000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-07-01,2018,Q2,10-Q,2329000000,2018-08-02
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-09-30,2018,Q3,10-Q,3913000000,2018-10-31
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-12-30,2018,FY,10-K,5253000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-12-30,2019,FY,10-K,5253000000,2020-02-04
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-04-02,2017-07-01,2018,Q2,10-Q,1151000000,2018-08-02
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-04-02,2017-07-01,2018,FY,10-K,1151000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-07-02,2017-09-30,2018,Q3,10-Q,1584000000,2018-10-31
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-07-02,2017-09-30,2018,FY,10-K,1584000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-10-01,2017-12-30,2018,FY,10-K,1340000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-03-31,2018,FY,10-K,1647000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-03-31,2019,Q1,10-Q,1647000000,2019-05-01
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-03-31,2019,FY,10-K,1647000000,2020-02-04
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-06-30,2018,Q2,10-Q,3403000000,2018-08-02
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-06-30,2019,Q2,10-Q,3403000000,2019-07-31
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-09-29,2018,Q3,10-Q,5056000000,2018-10-31
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-09-29,2019,Q3,10-Q,5056000000,2019-10-30
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-12-29,2018,FY,10-K,6475000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-12-29,2019,FY,10-K,6475000000,2020-02-04
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-12-29,2020,FY,10-K,6475000000,2021-01-29
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,2018,Q2,10-Q,1756000000,2018-08-02
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,2018,FY,10-K,1756000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,2019,Q2,10-Q,1756000000,2019-07-31
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,2019,FY,10-K,1756000000,2020-02-04
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-29,2018,Q3,10-Q,1653000000,2018-10-31
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-29,2018,FY,10-K,1653000000,2019-02-08
AMD,RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-29,2019,Q3,10-Q,1653000000,2019-10-30
