ticker,concept,period_start,period_end,fiscal_year,fiscal_period,form,value_usd,filed
DELL,Revenues,2016-01-30,2017-02-03,2019,Q4,10-K,62164000000,2019-03-29
DELL,Revenues,2017-02-04,2017-05-05,2019,Q4,10-K,18000000000,2019-03-29
DELL,Revenues,2017-02-04,2017-08-04,2019,Q2,10-Q,37521000000,2018-09-11
DELL,Revenues,2017-02-04,2017-11-03,2019,Q3,10-Q,57077000000,2018-12-10
DELL,Revenues,2017-02-04,2018-02-02,2019,Q4,10-K,79040000000,2019-03-29
DELL,Revenues,2017-02-04,2018-02-02,2020,FY,10-K,79040000000,2020-03-27
DELL,Revenues,2017-05-06,2017-08-04,2019,Q2,10-Q,19521000000,2018-09-11
DELL,Revenues,2017-05-06,2017-08-04,2019,Q4,10-K,19521000000,2019-03-29
DELL,Revenues,2017-08-05,2017-11-03,2019,Q3,10-Q,19556000000,2018-12-10
DELL,Revenues,2017-08-05,2017-11-03,2019,Q4,10-K,19556000000,2019-03-29
DELL,Revenues,2017-11-04,2018-02-02,2019,Q4,10-K,21963000000,2019-03-29
DELL,Revenues,2018-02-03,2018-05-04,2019,Q4,10-K,21356000000,2019-03-29
DELL,Revenues,2018-02-03,2018-05-04,2020,Q1,10-Q,21356000000,2019-06-10
DELL,Revenues,2018-02-03,2018-05-04,2020,FY,10-K,21356000000,2020-03-27
DELL,Revenues,2018-02-03,2018-08-03,2019,Q2,10-Q,44298000000,2018-09-11
DELL,Revenues,2018-02-03,2018-08-03,2020,Q2,10-Q,44298000000,2019-09-10
DELL,Revenues,2018-02-03,2018-11-02,2019,Q3,10-Q,66780000000,2018-12-10
DELL,Revenues,2018-02-03,2018-11-02,2020,Q3,10-Q,66780000000,2019-12-09
DELL,Revenues,2018-02-03,2019-02-01,2019,Q4,10-K,90621000000,2019-03-29
DELL,Revenues,2018-02-03,2019-02-01,2020,FY,10-K,90621000000,2020-03-27
DELL,Revenues,2018-02-03,2019-02-01,2021,FY,10-K,90621000000,2021-03-26
DELL,Revenues,2018-05-05,2018-08-03,2019,Q2,10-Q,22942000000,2018-09-11
DELL,Revenues,2018-05-05,2018-08-03,2019,Q4,10-K,22942000000,2019-03-29
DELL,Revenues,2018-05-05,2018-08-03,2020,Q2,10-Q,22942000000,2019-09-10
DELL,Revenues,2018-05-05,2018-08-03,2020,FY,10-K,22942000000,2020-03-27
DELL,Revenues,2018-08-04,2018-11-02,2019,Q3,10-Q,22482000000,2018-12-10
DELL,Revenues,2018-08-04,2018-11-02,2019,Q4,10-K,22482000000,2019-03-29
DELL,Revenues,2018-08-04,2018-11-02,2020,Q3,10-Q,22482000000,2019-12-09
DELL,Revenues,2018-08-04,2018-11-02,2020,FY,10-K,22482000000,2020-03-27
DELL,Revenues,2018-11-03,2019-02-01,2019,Q4,10-K,23841000000,2019-03-29
DELL,Revenues,2018-11-03,2019-02-01,2020,FY,10-K,23841000000,2020-03-27
DELL,Revenues,2019-02-02,2019-05-03,2020,Q1,10-Q,21908000000,2019-06-10
DELL,Revenues,2019-02-02,2019-05-03,2020,FY,10-K,21908000000,2020-03-27
DELL,Revenues,2019-02-02,2019-05-03,2021,Q1,10-Q,21908000000,2020-06-08
DELL,Revenues,2019-02-02,2019-08-02,2020,Q2,10-Q,45278000000,2019-09-10
DELL,Revenues,2019-02-02,2019-08-02,2021,Q2,10-Q,45278000000,2020-09-04
DELL,Revenues,2019-02-02,2019-11-01,2020,Q3,10-Q,68122000000,2019-12-09
DELL,Revenues,2019-02-02,2019-11-01,2021,Q3,10-Q,68122000000,2020-12-07
DELL,Revenues,2019-02-02,2020-01-31,2020,FY,10-K,92154000000,2020-03-27
DELL,Revenues,2019-02-02,2020-01-31,2021,FY,10-K,92154000000,2021-03-26
DELL,Revenues,2019-02-02,2020-01-31,2022,FY,10-K,84815000000,2022-03-24
DELL,Revenues,2019-05-04,2019-08-02,2020,Q2,10-Q,23370000000,2019-09-10
DELL,Revenues,2019-05-04,2019-08-02,2020,FY,10-K,23370000000,2020-03-27
DELL,Revenues,2019-05-04,2019-08-02,2021,Q2,10-Q,23370000000,2020-09-04
DELL,Revenues,2019-08-03,2019-11-01,2020,Q3,10-Q,22844000000,2019-12-09
DELL,Revenues,2019-08-03,2019-11-01,2020,FY,10-K,22844000000,2020-03-27
DELL,Revenues,2019-08-03,2019-11-01,2021,Q3,10-Q,22844000000,2020-12-07
DELL,Revenues,2019-11-02,2020-01-31,2020,FY,10-K,24032000000,2020-03-27
DELL,Revenues,2020-02-01,2020-05-01,2021,Q1,10-Q,21897000000,2020-06-08
DELL,Revenues,2020-02-01,2020-05-01,2022,Q1,10-Q,21897000000,2021-06-07
DELL,Revenues,2020-02-01,2020-05-01,2022,FY,10-K,20078000000,2022-03-24
DELL,Revenues,2020-02-01,2020-07-31,2021,Q2,10-Q,44630000000,2020-09-04
DELL,Revenues,2020-02-01,2020-07-31,2022,Q2,10-Q,44630000000,2021-09-03
DELL,Revenues,2020-02-01,2020-10-30,2021,Q3,10-Q,68112000000,2020-12-07
DELL,Revenues,2020-02-01,2020-10-30,2022,Q3,10-Q,68112000000,2021-12-03
DELL,Revenues,2020-02-01,2021-01-29,2021,FY,10-K,94224000000,2021-03-26
DELL,Revenues,2020-02-01,2021-01-29,2022,FY,10-K,86670000000,2022-03-24
DELL,Revenues,2020-02-01,2021-01-29,2023,FY,10-K,86670000000,2023-03-30
DELL,Revenues,2020-05-02,2020-07-31,2021,Q2,10-Q,22733000000,2020-09-04
DELL,Revenues,2020-05-02,2020-07-31,2022,Q2,10-Q,22733000000,2021-09-03
DELL,Revenues,2020-05-02,2020-07-31,2022,FY,10-K,20853000000,2022-03-24
DELL,Revenues,2020-08-01,2020-10-30,2021,Q3,10-Q,23482000000,2020-12-07
DELL,Revenues,2020-08-01,2020-10-30,2022,Q3,10-Q,23482000000,2021-12-03
DELL,Revenues,2020-08-01,2020-10-30,2022,FY,10-K,21589000000,2022-03-24
DELL,Revenues,2020-10-31,2021-01-29,2022,FY,10-K,24150000000,2022-03-24
DELL,Revenues,2021-01-30,2021-04-30,2022,Q1,10-Q,24487000000,2021-06-07
DELL,Revenues,2021-01-30,2021-04-30,2022,FY,10-K,22590000000,2022-03-24
DELL,Revenues,2021-01-30,2021-04-30,2023,Q1,10-Q,22590000000,2022-06-06
DELL,Revenues,2021-01-30,2021-07-30,2022,Q2,10-Q,50609000000,2021-09-03
DELL,Revenues,2021-01-30,2021-07-30,2023,Q2,10-Q,46781000000,2022-09-01
DELL,Revenues,2021-01-30,2021-10-29,2022,Q3,10-Q,79003000000,2021-12-03
DELL,Revenues,2021-01-30,2021-10-29,2023,Q3,10-Q,73205000000,2022-12-05
DELL,Revenues,2021-01-30,2022-01-28,2022,FY,10-K,101197000000,2022-03-24
DELL,Revenues,2021-01-30,2022-01-28,2023,FY,10-K,101197000000,2023-03-30
DELL,Revenues,2021-01-30,2022-01-28,2024,FY,10-K,101197000000,2024-03-25
DELL,Revenues,2021-05-01,2021-07-30,2022,Q2,10-Q,26122000000,2021-09-03
DELL,Revenues,2021-05-01,2021-07-30,2022,FY,10-K,24191000000,2022-03-24
DELL,Revenues,2021-05-01,2021-07-30,2023,Q2,10-Q,24191000000,2022-09-01
DELL,Revenues,2021-07-31,2021-10-29,2022,Q3,10-Q,28394000000,2021-12-03
DELL,Revenues,2021-07-31,2021-10-29,2022,FY,10-K,26424000000,2022-03-24
DELL,Revenues,2021-07-31,2021-10-29,2023,Q3,10-Q,26424000000,2022-12-05
DELL,Revenues,2021-10-30,2022-01-28,2022,FY,10-K,27992000000,2022-03-24
DELL,Revenues,2022-01-29,2022-04-29,2023,Q1,10-Q,26116000000,2022-06-06
DELL,Revenues,2022-01-29,2022-04-29,2024,FY,10-Q,26116000000,2023-06-12
DELL,Revenues,2022-01-29,2022-07-29,2023,Q2,10-Q,52541000000,2022-09-01
DELL,Revenues,2022-01-29,2022-07-29,2024,FY,10-Q,52541000000,2023-09-12
DELL,Revenues,2022-01-29,2022-10-28,2023,Q3,10-Q,77262000000,2022-12-05
DELL,Revenues,2022-01-29,2022-10-28,2024,Q3,10-Q,77262000000,2023-12-08
DELL,Revenues,2022-01-29,2023-02-03,2023,FY,10-K,102301000000,2023-03-30
DELL,Revenues,2022-01-29,2023-02-03,2024,FY,10-K,102301000000,2024-03-25
DELL,Revenues,2022-01-29,2023-02-03,2025,FY,10-K,102301000000,2025-03-25
DELL,Revenues,2022-04-30,2022-07-29,2023,Q2,10-Q,26425000000,2022-09-01
DELL,Revenues,2022-04-30,2022-07-29,2024,FY,10-Q,26425000000,2023-09-12
DELL,Revenues,2022-07-30,2022-10-28,2023,Q3,10-Q,24721000000,2022-12-05
DELL,Revenues,2022-07-30,2022-10-28,2024,Q3,10-Q,24721000000,2023-12-08
DELL,Revenues,2023-02-04,2023-05-05,2024,FY,10-Q,20922000000,2023-06-12
DELL,Revenues,2023-02-04,2023-05-05,2025,Q1,10-Q,20922000000,2024-06-11
DELL,Revenues,2023-02-04,2023-05-05,2025,FY,10-K,20922000000,2025-03-25
DELL,Revenues,2023-02-04,2023-08-04,2024,FY,10-Q,43856000000,2023-09-12
DELL,Revenues,2023-02-04,2023-08-04,2025,Q2,10-Q,43856000000,2024-09-10
DELL,Revenues,2023-02-04,2023-11-03,2024,Q3,10-Q,66107000000,2023-12-08
DELL,Revenues,2023-02-04,2023-11-03,2025,Q3,10-Q,66107000000,2024-12-10
DELL,Revenues,2023-02-04,2024-02-02,2024,FY,10-K,88425000000,2024-03-25
DELL,Revenues,2023-02-04,2024-02-02,2025,FY,10-K,88425000000,2025-03-25
DELL,Revenues,2023-02-04,2024-02-02,2026,FY,10-K,88425000000,2026-03-16
DELL,Revenues,2023-05-06,2023-08-04,2024,FY,10-Q,22934000000,2023-09-12
DELL,Revenues,2023-05-06,2023-08-04,2025,Q2,10-Q,22934000000,2024-09-10
DELL,Revenues,2023-05-06,2023-08-04,2025,FY,10-K,22934000000,2025-03-25
DELL,Revenues,2023-08-05,2023-11-03,2024,Q3,10-Q,22251000000,2023-12-08
DELL,Revenues,2023-08-05,2023-11-03,2025,Q3,10-Q,22251000000,2024-12-10
DELL,Revenues,2023-08-05,2023-11-03,2025,FY,10-K,22251000000,2025-03-25
DELL,Revenues,2023-11-04,2024-02-02,2025,FY,10-K,22318000000,2025-03-25
DELL,Revenues,2024-02-03,2024-05-03,2025,Q1,10-Q,22244000000,2024-06-11
DELL,Revenues,2024-02-03,2024-05-03,2025,FY,10-K,22244000000,2025-03-25
DELL,Revenues,2024-02-03,2024-05-03,2026,Q1,10-Q,22244000000,2025-06-10
DELL,Revenues,2024-02-03,2024-08-02,2025,Q2,10-Q,47270000000,2024-09-10
DELL,Revenues,2024-02-03,2024-08-02,2026,Q2,10-Q,47270000000,2025-09-08
DELL,Revenues,2024-02-03,2024-11-01,2025,Q3,10-Q,71636000000,2024-12-10
DELL,Revenues,2024-02-03,2024-11-01,2026,Q3,10-Q,71636000000,2025-12-09
DELL,Revenues,2024-02-03,2025-01-31,2025,FY,10-K,95567000000,2025-03-25
DELL,Revenues,2024-02-03,2025-01-31,2026,FY,10-K,95567000000,2026-03-16
DELL,Revenues,2024-05-04,2024-08-02,2025,Q2,10-Q,25026000000,2024-09-10
DELL,Revenues,2024-05-04,2024-08-02,2025,FY,10-K,25026000000,2025-03-25
DELL,Revenues,2024-05-04,2024-08-02,2026,Q2,10-Q,25026000000,2025-09-08
DELL,Revenues,2024-08-03,2024-11-01,2025,Q3,10-Q,24366000000,2024-12-10
DELL,Revenues,2024-08-03,2024-11-01,2025,FY,10-K,24366000000,2025-03-25
DELL,Revenues,2024-08-03,2024-11-01,2026,Q3,10-Q,24366000000,2025-12-09
DELL,Revenues,2024-11-02,2025-01-31,2025,FY,10-K,23931000000,2025-03-25
DELL,Revenues,2025-02-01,2025-05-02,2026,Q1,10-Q,23378000000,2025-06-10
DELL,Revenues,2025-02-01,2025-05-02,2027,Q1,10-Q,23378000000,2026-06-09
DELL,Revenues,2025-02-01,2025-08-01,2026,Q2,10-Q,53154000000,2025-09-08
DELL,Revenues,2025-02-01,2025-10-31,2026,Q3,10-Q,80159000000,2025-12-09
DELL,Revenues,2025-02-01,2026-01-30,2026,FY,10-K,113538000000,2026-03-16
DELL,Revenues,2025-05-03,2025-08-01,2026,Q2,10-Q,29776000000,2025-09-08
DELL,Revenues,2025-08-02,2025-10-31,2026,Q3,10-Q,27005000000,2025-12-09
DELL,Revenues,2026-01-31,2026-05-01,2027,Q1,10-Q,43842000000,2026-06-09
