ticker,concept,period_start,period_end,fiscal_year,fiscal_period,form,value_usd,filed
HPQ,Revenues,2006-11-01,2007-10-31,2009,FY,10-K,104286000000,2009-12-17
HPQ,Revenues,2006-11-01,2007-10-31,2009,FY,10-K/A,104286000000,2010-02-05
HPQ,Revenues,2007-11-01,2008-07-31,2009,Q3,10-Q/A,84761000000,2009-09-08
HPQ,Revenues,2007-11-01,2008-10-31,2009,FY,10-K,118364000000,2009-12-17
HPQ,Revenues,2007-11-01,2008-10-31,2009,FY,10-K/A,118364000000,2010-02-05
HPQ,Revenues,2007-11-01,2008-10-31,2010,FY,10-K,118364000000,2010-12-15
HPQ,Revenues,2008-05-01,2008-07-31,2009,Q3,10-Q/A,28032000000,2009-09-08
HPQ,Revenues,2008-11-01,2009-01-31,2010,Q1,10-Q,28807000000,2010-03-11
HPQ,Revenues,2008-11-01,2009-04-30,2010,Q2,10-Q,56190000000,2010-06-08
HPQ,Revenues,2008-11-01,2009-07-31,2009,Q3,10-Q/A,83602000000,2009-09-08
HPQ,Revenues,2008-11-01,2009-07-31,2010,Q3,10-Q,83775000000,2010-09-09
HPQ,Revenues,2008-11-01,2009-10-31,2009,FY,10-K,114552000000,2009-12-17
HPQ,Revenues,2008-11-01,2009-10-31,2009,FY,10-K/A,114552000000,2010-02-05
HPQ,Revenues,2008-11-01,2009-10-31,2010,FY,10-K,114552000000,2010-12-15
HPQ,Revenues,2008-11-01,2009-10-31,2011,FY,10-K,114552000000,2011-12-14
HPQ,Revenues,2009-02-01,2009-04-30,2010,Q2,10-Q,27383000000,2010-06-08
HPQ,Revenues,2009-05-01,2009-07-31,2009,Q3,10-Q/A,27451000000,2009-09-08
HPQ,Revenues,2009-05-01,2009-07-31,2010,Q3,10-Q,27585000000,2010-09-09
HPQ,Revenues,2009-11-01,2010-01-31,2010,Q1,10-Q,31177000000,2010-03-11
HPQ,Revenues,2009-11-01,2010-01-31,2011,Q1,10-Q,31177000000,2011-03-11
HPQ,Revenues,2009-11-01,2010-04-30,2010,Q2,10-Q,62026000000,2010-06-08
HPQ,Revenues,2009-11-01,2010-04-30,2011,Q2,10-Q,62026000000,2011-06-08
HPQ,Revenues,2009-11-01,2010-07-31,2010,Q3,10-Q,92755000000,2010-09-09
HPQ,Revenues,2009-11-01,2010-07-31,2011,Q3,10-Q,92755000000,2011-09-09
HPQ,Revenues,2009-11-01,2010-10-31,2010,FY,10-K,126033000000,2010-12-15
HPQ,Revenues,2009-11-01,2010-10-31,2011,FY,10-K,126033000000,2011-12-14
HPQ,Revenues,2009-11-01,2010-10-31,2012,FY,10-K,126033000000,2012-12-27
HPQ,Revenues,2010-02-01,2010-04-30,2010,Q2,10-Q,30849000000,2010-06-08
HPQ,Revenues,2010-02-01,2010-04-30,2011,Q2,10-Q,30849000000,2011-06-08
HPQ,Revenues,2010-05-01,2010-07-31,2010,Q3,10-Q,30729000000,2010-09-09
HPQ,Revenues,2010-05-01,2010-07-31,2011,Q3,10-Q,30729000000,2011-09-09
HPQ,Revenues,2010-11-01,2011-01-31,2011,Q1,10-Q,32302000000,2011-03-11
HPQ,Revenues,2010-11-01,2011-01-31,2012,Q1,10-Q,32302000000,2012-03-12
HPQ,Revenues,2010-11-01,2011-04-30,2011,Q2,10-Q,63934000000,2011-06-08
HPQ,Revenues,2010-11-01,2011-04-30,2012,Q2,10-Q,63934000000,2012-06-08
HPQ,Revenues,2010-11-01,2011-07-31,2011,Q3,10-Q,95123000000,2011-09-09
HPQ,Revenues,2010-11-01,2011-07-31,2012,Q3,10-Q,95123000000,2012-09-10
HPQ,Revenues,2010-11-01,2011-10-31,2011,FY,10-K,127245000000,2011-12-14
HPQ,Revenues,2010-11-01,2011-10-31,2012,FY,10-K,127245000000,2012-12-27
HPQ,Revenues,2010-11-01,2011-10-31,2013,FY,10-K,127245000000,2013-12-30
HPQ,Revenues,2011-02-01,2011-04-30,2011,Q2,10-Q,31632000000,2011-06-08
HPQ,Revenues,2011-02-01,2011-04-30,2012,Q2,10-Q,31632000000,2012-06-08
HPQ,Revenues,2011-05-01,2011-07-31,2011,Q3,10-Q,31189000000,2011-09-09
