ticker,concept,period_start,period_end,fiscal_year,fiscal_period,form,value_usd,filed
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2015-12-27,2016-12-31,2018,FY,10-K,59387000000,2019-02-01
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-09-30,2018,Q3,10-Q,45708000000,2018-10-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-12-30,2018,FY,10-K,62761000000,2019-02-01
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-01-01,2017-12-30,2019,FY,10-K,62761000000,2020-01-24
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-07-02,2017-09-30,2018,Q3,10-Q,16149000000,2018-10-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-03-31,2019,Q1,10-Q,16066000000,2019-04-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-06-30,2019,Q2,10-Q,33028000000,2019-07-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-09-29,2018,Q3,10-Q,52191000000,2018-10-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-09-29,2019,Q3,10-Q,52191000000,2019-10-25
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-12-29,2018,FY,10-K,70848000000,2019-02-01
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-12-29,2019,FY,10-K,70848000000,2020-01-24
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2017-12-31,2018-12-29,2020,FY,10-K,70848000000,2021-01-22
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-04-01,2018-06-30,2019,Q2,10-Q,16962000000,2019-07-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-29,2018,Q3,10-Q,19163000000,2018-10-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-07-01,2018-09-29,2019,Q3,10-Q,19163000000,2019-10-25
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-03-30,2019,Q1,10-Q,16061000000,2019-04-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-03-30,2020,Q1,10-Q,16061000000,2020-04-24
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-06-29,2019,Q2,10-Q,32566000000,2019-07-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-06-29,2020,Q2,10-Q,32566000000,2020-07-24
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-09-28,2019,Q3,10-Q,51756000000,2019-10-25
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-09-28,2020,Q3,10-Q,51756000000,2020-10-23
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-12-28,2019,FY,10-K,71965000000,2020-01-24
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-12-28,2020,FY,10-K,71965000000,2021-01-22
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2018-12-30,2019-12-28,2021,FY,10-K,71965000000,2022-01-27
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-03-31,2019-06-29,2019,Q2,10-Q,16505000000,2019-07-26
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-03-31,2019-06-29,2020,Q2,10-Q,16505000000,2020-07-24
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-06-30,2019-09-28,2019,Q3,10-Q,19190000000,2019-10-25
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-06-30,2019-09-28,2020,Q3,10-Q,19190000000,2020-10-23
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-03-28,2020,Q1,10-Q,19828000000,2020-04-24
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-03-28,2021,Q1,10-Q,19828000000,2021-04-23
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-06-27,2020,Q2,10-Q,39556000000,2020-07-24
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-06-27,2021,Q2,10-Q,39556000000,2021-07-23
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-09-26,2020,Q3,10-Q,57889000000,2020-10-23
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-09-26,2021,Q3,10-Q,57889000000,2021-10-22
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-12-26,2020,FY,10-K,77867000000,2021-01-22
INTC,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-12-26,2021,FY,10-K,77867000000,2022-01-27
