ticker,concept,period_start,period_end,fiscal_year,fiscal_period,form,value_usd,filed
NVDA,Revenues,2007-01-29,2008-01-27,2010,FY,10-K,4097860000,2010-03-18
NVDA,Revenues,2008-01-25,2008-07-27,2009,Q2,10-Q,2046064000,2009-08-20
NVDA,Revenues,2008-01-28,2008-10-26,2009,Q3,10-Q,2943719000,2009-11-19
NVDA,Revenues,2008-01-28,2009-01-25,2010,FY,10-K,3424859000,2010-03-18
NVDA,Revenues,2008-04-27,2008-07-27,2009,Q2,10-Q,892676000,2009-08-20
NVDA,Revenues,2008-07-28,2008-10-26,2009,Q3,10-Q,897655000,2009-11-19
NVDA,Revenues,2009-01-25,2009-07-26,2009,Q2,10-Q,1440751000,2009-08-20
NVDA,Revenues,2009-01-26,2009-04-26,2010,Q2,10-Q,664231000,2010-05-21
NVDA,Revenues,2009-01-26,2009-04-26,2010,FY,10-K,664231000,2011-03-16
NVDA,Revenues,2009-01-26,2009-07-26,2010,Q3,10-Q,1440751000,2010-08-30
NVDA,Revenues,2009-01-26,2009-10-25,2009,Q3,10-Q,2343957000,2009-11-19
NVDA,Revenues,2009-01-26,2009-10-25,2010,Q3,10-Q,2343957000,2010-12-07
NVDA,Revenues,2009-01-26,2010-01-31,2010,FY,10-K,3326445000,2010-03-18
NVDA,Revenues,2009-01-26,2010-01-31,2011,FY,10-K,3326445000,2012-03-13
NVDA,Revenues,2009-04-27,2009-07-26,2009,Q2,10-Q,776520000,2009-08-20
NVDA,Revenues,2009-04-27,2009-07-26,2010,Q3,10-Q,776520000,2010-08-30
NVDA,Revenues,2009-04-27,2009-07-26,2010,FY,10-K,776520000,2011-03-16
NVDA,Revenues,2009-07-27,2009-10-25,2009,Q3,10-Q,903206000,2009-11-19
NVDA,Revenues,2009-07-27,2009-10-25,2010,Q3,10-Q,903206000,2010-12-07
NVDA,Revenues,2009-07-27,2009-10-25,2010,FY,10-K,903206000,2011-03-16
NVDA,Revenues,2009-10-26,2010-01-31,2010,FY,10-K,982488000,2011-03-16
NVDA,Revenues,2010-02-01,2010-05-02,2010,Q2,10-Q,1001813000,2010-05-21
NVDA,Revenues,2010-02-01,2010-05-02,2010,FY,10-K,1001813000,2011-03-16
NVDA,Revenues,2010-02-01,2010-05-02,2011,Q1,10-Q,1001813000,2011-05-27
NVDA,Revenues,2010-02-01,2010-05-02,2011,FY,10-K,1001813000,2012-03-13
NVDA,Revenues,2010-02-01,2010-08-01,2010,Q3,10-Q,1813021000,2010-08-30
NVDA,Revenues,2010-02-01,2010-08-01,2011,Q2,10-Q,1813021000,2011-08-25
NVDA,Revenues,2010-02-01,2010-10-31,2010,Q3,10-Q,2656933000,2010-12-07
NVDA,Revenues,2010-02-01,2010-10-31,2011,Q3,10-Q,2656933000,2011-11-22
NVDA,Revenues,2010-02-01,2011-01-30,2010,FY,10-K,3543309000,2011-03-16
NVDA,Revenues,2010-02-01,2011-01-30,2011,FY,10-K,3543309000,2012-03-13
NVDA,Revenues,2010-02-01,2011-01-30,2012,FY,10-K,3543309000,2013-03-12
NVDA,Revenues,2010-05-03,2010-07-31,2011,FY,10-K,811208000,2012-03-13
NVDA,Revenues,2010-05-03,2010-08-01,2010,Q3,10-Q,811208000,2010-08-30
NVDA,Revenues,2010-05-03,2010-08-01,2010,FY,10-K,811208000,2011-03-16
NVDA,Revenues,2010-05-03,2010-08-01,2011,Q2,10-Q,811208000,2011-08-25
NVDA,Revenues,2010-08-02,2010-10-31,2010,Q3,10-Q,843912000,2010-12-07
NVDA,Revenues,2010-08-02,2010-10-31,2010,FY,10-K,843912000,2011-03-16
NVDA,Revenues,2010-08-02,2010-10-31,2011,Q3,10-Q,843912000,2011-11-22
NVDA,Revenues,2010-08-02,2010-10-31,2011,FY,10-K,843912000,2012-03-13
NVDA,Revenues,2010-11-01,2011-01-30,2010,FY,10-K,886376000,2011-03-16
NVDA,Revenues,2010-11-01,2011-01-30,2011,FY,10-K,886376000,2012-03-13
NVDA,Revenues,2011-01-31,2011-05-01,2011,Q1,10-Q,962039000,2011-05-27
NVDA,Revenues,2011-01-31,2011-05-01,2011,FY,10-K,962039000,2012-03-13
NVDA,Revenues,2011-01-31,2011-05-01,2012,Q1,10-Q,962039000,2012-05-23
NVDA,Revenues,2011-01-31,2011-05-01,2012,FY,10-K,962039000,2013-03-12
NVDA,Revenues,2011-01-31,2011-07-31,2011,Q2,10-Q,1978556000,2011-08-25
NVDA,Revenues,2011-01-31,2011-07-31,2012,Q2,10-Q,1978556000,2012-08-22
NVDA,Revenues,2011-01-31,2011-10-30,2011,Q3,10-Q,3044736000,2011-11-22
NVDA,Revenues,2011-01-31,2011-10-30,2012,Q3,10-Q,3044736000,2012-11-19
NVDA,Revenues,2011-01-31,2012-01-29,2011,FY,10-K,3997930000,2012-03-13
NVDA,Revenues,2011-01-31,2012-01-29,2012,FY,10-K,3997930000,2013-03-12
NVDA,Revenues,2011-01-31,2012-01-29,2013,FY,10-K,3997930000,2014-03-13
NVDA,Revenues,2011-05-02,2011-07-31,2011,Q2,10-Q,1016517000,2011-08-25
NVDA,Revenues,2011-05-02,2011-07-31,2011,FY,10-K,1016517000,2012-03-13
NVDA,Revenues,2011-05-02,2011-07-31,2012,Q2,10-Q,1016517000,2012-08-22
NVDA,Revenues,2011-05-02,2011-07-31,2012,FY,10-K,1016517000,2013-03-12
NVDA,Revenues,2011-08-01,2011-10-30,2011,Q3,10-Q,1066180000,2011-11-22
NVDA,Revenues,2011-08-01,2011-10-30,2011,FY,10-K,1066180000,2012-03-13
NVDA,Revenues,2011-08-01,2011-10-30,2012,Q3,10-Q,1066180000,2012-11-19
NVDA,Revenues,2011-08-01,2011-10-30,2012,FY,10-K,1066180000,2013-03-12
NVDA,Revenues,2011-10-31,2012-01-29,2011,FY,10-K,953194000,2012-03-13
NVDA,Revenues,2011-10-31,2012-01-29,2012,FY,10-K,953194000,2013-03-12
NVDA,Revenues,2012-01-30,2012-04-29,2012,Q1,10-Q,924877000,2012-05-23
NVDA,Revenues,2012-01-30,2012-04-29,2012,FY,10-K,924877000,2013-03-12
NVDA,Revenues,2012-01-30,2012-04-29,2013,Q1,10-Q,924877000,2013-05-22
NVDA,Revenues,2012-01-30,2012-04-29,2013,FY,10-K,924877000,2014-03-13
NVDA,Revenues,2012-01-30,2012-07-29,2012,Q2,10-Q,1969147000,2012-08-22
NVDA,Revenues,2012-01-30,2012-07-29,2013,Q2,10-Q,1969147000,2013-08-21
NVDA,Revenues,2012-01-30,2012-10-28,2012,Q3,10-Q,3173257000,2012-11-19
NVDA,Revenues,2012-01-30,2012-10-28,2013,Q3,10-Q,3173257000,2013-11-19
NVDA,Revenues,2012-01-30,2013-01-27,2012,FY,10-K,4280159000,2013-03-12
NVDA,Revenues,2012-01-30,2013-01-27,2013,FY,10-K,4280159000,2014-03-13
NVDA,Revenues,2012-01-30,2013-01-27,2015,FY,10-K,4280159000,2015-03-12
NVDA,Revenues,2012-04-30,2012-07-29,2012,Q2,10-Q,1044270000,2012-08-22
NVDA,Revenues,2012-04-30,2012-07-29,2012,FY,10-K,1044270000,2013-03-12
NVDA,Revenues,2012-04-30,2012-07-29,2013,Q2,10-Q,1044270000,2013-08-21
NVDA,Revenues,2012-04-30,2012-07-29,2013,FY,10-K,1044270000,2014-03-13
NVDA,Revenues,2012-07-30,2012-10-28,2012,Q3,10-Q,1204110000,2012-11-19
NVDA,Revenues,2012-07-30,2012-10-28,2012,FY,10-K,1204110000,2013-03-12
NVDA,Revenues,2012-07-30,2012-10-28,2013,Q3,10-Q,1204110000,2013-11-19
NVDA,Revenues,2012-07-30,2012-10-28,2013,FY,10-K,1204110000,2014-03-13
NVDA,Revenues,2012-10-29,2013-01-27,2012,FY,10-K,1106902000,2013-03-12
NVDA,Revenues,2012-10-29,2013-01-27,2013,FY,10-K,1106902000,2014-03-13
NVDA,Revenues,2013-01-28,2013-04-28,2013,Q1,10-Q,954739000,2013-05-22
NVDA,Revenues,2013-01-28,2013-04-28,2013,FY,10-K,954739000,2014-03-13
NVDA,Revenues,2013-01-28,2013-04-28,2014,Q1,10-Q,954739000,2014-05-21
NVDA,Revenues,2013-01-28,2013-04-28,2015,FY,10-K,954739000,2015-03-12
NVDA,Revenues,2013-01-28,2013-07-28,2013,Q2,10-Q,1931977000,2013-08-21
NVDA,Revenues,2013-01-28,2013-07-28,2015,Q2,10-Q,1931977000,2014-08-20
NVDA,Revenues,2013-01-28,2013-10-27,2013,Q3,10-Q,2985944000,2013-11-19
NVDA,Revenues,2013-01-28,2013-10-27,2015,Q3,10-Q,2985944000,2014-11-19
NVDA,Revenues,2013-01-28,2014-01-26,2013,FY,10-K,4130162000,2014-03-13
NVDA,Revenues,2013-01-28,2014-01-26,2015,FY,10-K,4130162000,2015-03-12
NVDA,Revenues,2013-01-28,2014-01-26,2016,FY,10-K,4130000000,2016-03-17
NVDA,Revenues,2013-04-29,2013-07-28,2013,Q2,10-Q,977238000,2013-08-21
NVDA,Revenues,2013-04-29,2013-07-28,2013,FY,10-K,977238000,2014-03-13
NVDA,Revenues,2013-04-29,2013-07-28,2015,Q2,10-Q,977238000,2014-08-20
NVDA,Revenues,2013-04-29,2013-07-28,2015,FY,10-K,977238000,2015-03-12
NVDA,Revenues,2013-07-29,2013-10-27,2013,Q3,10-Q,1053967000,2013-11-19
NVDA,Revenues,2013-07-29,2013-10-27,2013,FY,10-K,1053967000,2014-03-13
