filing_form,filing_date,period_end,duration,market_category,category_key,revenue_usd_millions
10-K,2021-02-26,"Jan. 31, 2021",12 Months Ended,Total,Total,16675
10-K,2021-02-26,"Jan. 26, 2020",12 Months Ended,Total,Total,10918
10-K,2021-02-26,"Jan. 27, 2019",12 Months Ended,Total,Total,11716
10-K,2021-02-26,"Jan. 31, 2021",12 Months Ended,Gaming,Gaming,7759
10-K,2021-02-26,"Jan. 26, 2020",12 Months Ended,Gaming,Gaming,5518
10-K,2021-02-26,"Jan. 27, 2019",12 Months Ended,Gaming,Gaming,6246
10-K,2021-02-26,"Jan. 31, 2021",12 Months Ended,Professional Visualization,ProfessionalVisualization,1053
10-K,2021-02-26,"Jan. 26, 2020",12 Months Ended,Professional Visualization,ProfessionalVisualization,1212
10-K,2021-02-26,"Jan. 27, 2019",12 Months Ended,Professional Visualization,ProfessionalVisualization,1130
10-K,2021-02-26,"Jan. 31, 2021",12 Months Ended,Data Center,DataCenter,6696
10-K,2021-02-26,"Jan. 26, 2020",12 Months Ended,Data Center,DataCenter,2983
10-K,2021-02-26,"Jan. 27, 2019",12 Months Ended,Data Center,DataCenter,2932
10-K,2021-02-26,"Jan. 31, 2021",12 Months Ended,Automotive,Automotive,536
10-K,2021-02-26,"Jan. 26, 2020",12 Months Ended,Automotive,Automotive,700
10-K,2021-02-26,"Jan. 27, 2019",12 Months Ended,Automotive,Automotive,641
10-K,2021-02-26,"Jan. 31, 2021",12 Months Ended,OEM &amp; Other,OEMAndOther,631
10-K,2021-02-26,"Jan. 26, 2020",12 Months Ended,OEM &amp; Other,OEMAndOther,505
10-K,2021-02-26,"Jan. 27, 2019",12 Months Ended,OEM &amp; Other,OEMAndOther,767
10-K,2022-03-18,"Jan. 30, 2022",12 Months Ended,Total,Total,26914
10-K,2022-03-18,"Jan. 31, 2021",12 Months Ended,Total,Total,16675
10-K,2022-03-18,"Jan. 26, 2020",12 Months Ended,Total,Total,10918
