year,region,month,billings_thousand_usd
1986,Americas,January,555850
1986,Americas,February,633465
1986,Americas,March,756220
1986,Americas,April,689470
1986,Americas,May,718336
1986,Americas,June,797014
1986,Americas,July,707784
1986,Americas,August,697506
1986,Americas,September,803392
1986,Americas,October,702111
1986,Americas,November,673104
1986,Americas,December,774305
1986,Asia Pacific,January,105050
1986,Asia Pacific,February,115746
1986,Asia Pacific,March,147968
1986,Asia Pacific,April,156420
1986,Asia Pacific,May,167537
1986,Asia Pacific,June,185026
1986,Asia Pacific,July,186067
1986,Asia Pacific,August,187628
1986,Asia Pacific,September,208132
1986,Asia Pacific,October,196243
1986,Asia Pacific,November,191042
1986,Asia Pacific,December,205455
1986,Europe,January,346467
1986,Europe,February,401765
1986,Europe,March,461912
1986,Europe,April,436798
1986,Europe,May,446171
1986,Europe,June,472555
1986,Europe,July,439444
1986,Europe,August,426172
1986,Europe,September,507467
1986,Europe,October,493835
1986,Europe,November,431645
1986,Europe,December,479532
1986,Japan,January,638547
1986,Japan,February,750366
1986,Japan,March,840215
1986,Japan,April,838082
1986,Japan,May,870515
1986,Japan,June,922481
1986,Japan,July,996881
1986,Japan,August,914476
1986,Japan,September,971103
1986,Japan,October,949854
1986,Japan,November,875638
1986,Japan,December,882567
1986,Worldwide,January,1645914
1986,Worldwide,February,1901342
1986,Worldwide,March,2206315
1986,Worldwide,April,2120770
1986,Worldwide,May,2202559
1986,Worldwide,June,2377076
1986,Worldwide,July,2330176
1986,Worldwide,August,2225782
1986,Worldwide,September,2490094
1986,Worldwide,October,2342043
1986,Worldwide,November,2171429
1986,Worldwide,December,2341859
1987,Americas,January,662316
1987,Americas,February,695384
1987,Americas,March,879953
1987,Americas,April,783070
1987,Americas,May,819071
1987,Americas,June,934011
1987,Americas,July,851790
1987,Americas,August,875491
1987,Americas,September,996212
1987,Americas,October,896818
1987,Americas,November,879017
1987,Americas,December,986071
1987,Asia Pacific,January,189473
1987,Asia Pacific,February,218174
1987,Asia Pacific,March,258402
1987,Asia Pacific,April,270392
1987,Asia Pacific,May,285919
1987,Asia Pacific,June,307717
1987,Asia Pacific,July,299726
1987,Asia Pacific,August,290902
1987,Asia Pacific,September,300332
1987,Asia Pacific,October,296872
1987,Asia Pacific,November,304696
1987,Asia Pacific,December,328760
1987,Europe,January,446216
1987,Europe,February,460982
1987,Europe,March,551635
1987,Europe,April,483195
1987,Europe,May,522679
1987,Europe,June,542275
1987,Europe,July,459319
1987,Europe,August,456098
1987,Europe,September,587787
1987,Europe,October,538082
1987,Europe,November,559245
1987,Europe,December,580580
1987,Japan,January,839651
1987,Japan,February,885850
1987,Japan,March,947246
1987,Japan,April,937335
1987,Japan,May,980361
1987,Japan,June,1064083
1987,Japan,July,1093292
1987,Japan,August,1000056
1987,Japan,September,1157494
1987,Japan,October,1190420
1987,Japan,November,1271073
1987,Japan,December,1364929
1987,Worldwide,January,2137656
1987,Worldwide,February,2260390
1987,Worldwide,March,2637236
1987,Worldwide,April,2473992
1987,Worldwide,May,2608030
1987,Worldwide,June,2848086
1987,Worldwide,July,2704127
1987,Worldwide,August,2622547
1987,Worldwide,September,3041825
1987,Worldwide,October,2922192
1987,Worldwide,November,3014031
1987,Worldwide,December,3260340
1988,Americas,January,905615
1988,Americas,February,960564
1988,Americas,March,1128942
1988,Americas,April,1016859
1988,Americas,May,1081031
