sa,series,geo,year,Q1,Q2,Q3,Q4
U,BA_BA,MW,2004,,,100373,99251
U,BA_BA,NO,2004,,,100419,97716
U,BA_BA,SO,2004,,,216928,208860
U,BA_BA,WE,2004,,,123450,122463
U,BA_BA,MW,2005,123132,120938,106445,104408
U,BA_BA,NO,2005,118911,119034,107005,104127
U,BA_BA,SO,2005,269762,258404,240695,232751
U,BA_BA,WE,2005,157899,154180,139442,141997
U,BA_BA,MW,2006,131939,125039,107296,104369
U,BA_BA,NO,2006,129319,124783,106269,106970
U,BA_BA,SO,2006,297236,284092,253345,238819
U,BA_BA,WE,2006,176000,172592,147921,141881
U,BA_BA,MW,2007,126455,122070,111171,109775
U,BA_BA,NO,2007,124557,125079,109315,108794
U,BA_BA,SO,2007,285593,279650,258881,250032
U,BA_BA,WE,2007,174988,170743,152195,147777
U,BA_BA,MW,2008,127899,125464,108766,106977
U,BA_BA,NO,2008,119833,119042,104697,100249
U,BA_BA,SO,2008,280868,272822,242643,230194
U,BA_BA,WE,2008,171088,166137,145167,135027
U,BA_BA,MW,2009,128369,118307,106722,103070
U,BA_BA,NO,2009,111805,110637,99257,97517
U,BA_BA,SO,2009,263646,249978,233087,214666
U,BA_BA,WE,2009,155128,147637,134974,124804
U,BA_BA,MW,2010,126894,119882,107124,104756
U,BA_BA,NO,2010,117159,117965,103544,102976
U,BA_BA,SO,2010,270165,256706,236885,224151
U,BA_BA,WE,2010,156585,149180,137125,129008
U,BA_BA,MW,2011,133435,117897,105849,105692
U,BA_BA,NO,2011,126059,118425,104345,103290
U,BA_BA,SO,2011,296926,257685,244787,230668
U,BA_BA,WE,2011,168026,151951,139121,131479
U,BA_BA,MW,2012,126727,120892,103793,107497
U,BA_BA,NO,2012,122111,120736,103380,105482
U,BA_BA,SO,2012,287452,271148,238561,239455
U,BA_BA,WE,2012,155537,159044,136284,137437
U,BA_BA,MW,2013,129817,115108,104918,101764
U,BA_BA,NO,2013,127394,119504,106998,107081
U,BA_BA,SO,2013,300373,267974,251804,236274
U,BA_BA,WE,2013,163196,160539,143886,139160
U,BA_BA,MW,2014,127832,120049,107817,104294
U,BA_BA,NO,2014,124856,123328,109774,107980
U,BA_BA,SO,2014,309102,290652,264277,249095
U,BA_BA,WE,2014,177506,168363,150176,144001
U,BA_BA,MW,2015,138600,120263,111175,100496
U,BA_BA,NO,2015,135236,124305,112733,104582
U,BA_BA,SO,2015,340512,297422,284624,250307
U,BA_BA,WE,2015,192990,171976,157104,140986
U,BA_BA,MW,2016,142369,123005,116876,106757
U,BA_BA,NO,2016,138920,125048,118293,108392
U,BA_BA,SO,2016,358345,316334,312326,274350
U,BA_BA,WE,2016,198549,175773,170065,151500
U,BA_BA,MW,2017,150833,136279,124961,117634
U,BA_BA,NO,2017,147119,138440,125843,117195
U,BA_BA,SO,2017,391996,352974,321337,299058
U,BA_BA,WE,2017,207463,195161,178561,163237
U,BA_BA,MW,2018,169293,152678,137375,123801
U,BA_BA,NO,2018,160910,151258,135040,124170
U,BA_BA,SO,2018,430666,391910,357525,311928
U,BA_BA,WE,2018,237125,218851,196269,177447
U,BA_BA,MW,2019,166799,149516,133967,125942
U,BA_BA,NO,2019,162022,150573,131758,126216
U,BA_BA,SO,2019,434955,394741,355881,328027
U,BA_BA,WE,2019,232160,213280,189823,183221
U,BA_BA,MW,2020,157731,159411,263444,161994
U,BA_BA,NO,2020,150167,130380,216703,153604
U,BA_BA,SO,2020,420382,434287,697854,439657
U,BA_BA,WE,2020,230459,204269,295568,206921
A,BA_BA,MW,2004,,,107995,109135
A,BA_BA,NO,2004,,,107521,106410
A,BA_BA,SO,2004,,,227323,232110
A,BA_BA,WE,2004,,,131938,135548
A,BA_BA,MW,2005,111511,114426,114539,114645
A,BA_BA,NO,2005,109939,111697,114562,113128
A,BA_BA,SO,2005,245715,246517,252420,258191
A,BA_BA,WE,2005,143499,145454,148861,156907
A,BA_BA,MW,2006,119595,118409,115442,114400
A,BA_BA,NO,2006,119846,117095,113715,115914
A,BA_BA,SO,2006,271083,271219,265443,264442
A,BA_BA,WE,2006,160282,162938,157651,156734
A,BA_BA,MW,2007,114623,115796,119607,120157
A,BA_BA,NO,2007,115808,117315,116902,117691
A,BA_BA,SO,2007,260786,267191,271200,276608
A,BA_BA,WE,2007,159594,161408,161544,163583
A,BA_BA,MW,2008,115734,119486,116929,117049
A,BA_BA,NO,2008,111566,111730,111853,108509
A,BA_BA,SO,2008,256280,261241,253876,255102
A,BA_BA,WE,2008,155959,157435,153444,149856
A,BA_BA,MW,2009,115670,113154,114796,112727
A,BA_BA,NO,2009,103957,103879,106152,105784
A,BA_BA,SO,2009,239745,239856,244063,238586
A,BA_BA,WE,2009,141187,140102,142462,139014
A,BA_BA,MW,2010,113832,115124,115375,114699
A,BA_BA,NO,2010,108392,110906,110978,112049
A,BA_BA,SO,2010,243997,247191,248104,250459
A,BA_BA,WE,2010,141930,141707,144957,144135
A,BA_BA,MW,2011,119160,113420,114265,116028
A,BA_BA,NO,2011,115874,111490,112245,112720
A,BA_BA,SO,2011,266098,248571,257122,259161
A,BA_BA,WE,2011,151652,144188,147653,147467
A,BA_BA,MW,2012,112495,116590,112041,118735
A,BA_BA,NO,2012,111349,114079,111302,115656
A,BA_BA,SO,2012,255346,262271,250840,271115
A,BA_BA,WE,2012,139481,151004,145102,154832
A,BA_BA,MW,2013,114475,111250,112963,113587
A,BA_BA,NO,2013,115290,113410,114916,118363
