tab_22,tab_17,weight
44/45-NFD,44/45-NFD,44.8125
44/45-NFD,443,0.0014
44/45-NFD,446,0.0014
44/45-NFD,451,0.0014
44/45-NFD,454,55.1834
441,44/45-NFD,0.3421
441,441,97.3267
441,442,0.0022
441,443,0.0349
441,444,0.0392
441,445,0.0065
441,446,0.0044
441,447,0.0131
441,448,0.0087
441,451,0.0218
441,452,0.0087
441,453,0.0349
441,454,2.157
444,44/45-NFD,8.8502
444,441,0.0338
444,442,0.082
444,443,0.0338
444,444,80.4186
444,445,0.0145
444,446,0.0096
444,447,0.0145
444,448,0.0145
444,451,0.0145
444,452,0.0289
444,453,0.135
444,454,10.3501
445,44/45-NFD,0.4175
445,441,0.0039
445,442,0.0026
445,443,0.0158
445,444,0.0158
445,445,75.1579
445,446,0.0328
445,447,0.8705
445,448,0.0184
445,451,0.0171
445,452,0.0381
445,453,0.0906
445,454,23.319
449,44/45-NFD,1.1934
449,441,0.0067
449,442,33.0463
449,443,34.4784
449,444,0.0758
449,445,0.0112
449,446,0.0067
449,447,0.0156
449,448,0.0335
449,451,0.4037
449,452,0.0245
449,453,0.1182
449,454,30.586
455,44/45-NFD,0.0767
455,441,0.0006
455,442,0.0004
455,443,0.0057
455,444,0.0008
455,445,0.0012
455,446,0.0004
455,447,0.0004
455,448,0.0012
455,451,0.0006
455,452,2.154
455,453,0.0018
455,454,97.7561
456,44/45-NFD,0.9549
456,441,0.0031
456,442,0.0062
456,443,0.0246
456,444,0.0062
456,445,0.0216
456,446,82.7353
456,447,0.0062
456,448,0.0308
456,451,0.0092
456,452,0.0185
456,453,0.1047
456,454,16.0789
457,44/45-NFD,0.1485
457,441,0.0085
457,442,0.0042
457,443,0.0085
457,444,0.0085
457,445,0.9546
457,446,0.0042
457,447,74.2713
457,448,0.0042
457,451,0.0085
457,452,0.0212
457,453,0.0552
457,454,24.5025
458,44/45-NFD,1.2942
458,441,0.008
458,442,0.0107
458,443,0.0187
458,444,0.0147
458,445,0.0107
458,446,0.0201
458,447,0.0094
458,448,83.1462
458,451,0.0361
458,452,0.0254
458,453,0.1245
458,454,15.2813
459,44/45-NFD,1.7248
459,441,0.022
459,442,0.0257
459,443,0.1381
459,444,0.0276
459,445,0.0427
459,446,0.0345
459,447,0.022
459,448,0.1054
459,451,16.3645
459,452,0.0339
459,453,51.519
459,454,29.9397
51-NFD,51-NFD,45.4872
51-NFD,512,0.0094
51-NFD,518,0.0094
51-NFD,519,54.494
512,51-NFD,0.7191
512,511,0.0162
512,512,98.6737
512,515,0.0162
512,517,0.0032
512,518,0.0211
512,519,0.5503
513,51-NFD,0.8461
513,511,91.7656
513,512,0.2375
513,515,0.0408
513,517,0.0408
513,518,0.1039
513,519,6.9653
516,51-NFD,23.4764
516,511,0.2092
516,512,0.2547
516,515,16.6545
516,517,0.0182
516,518,0.1455
516,519,59.2414
517,51-NFD,0.084
517,511,0.0224
517,512,0.0168
517,515,0.028
517,517,97.7777
517,518,1.7129
517,519,0.3583
518,51-NFD,0.6167
518,511,0.4531
518,512,0.1384
518,515,0.0252
518,517,0.1133
518,518,95.2555
518,519,3.3979
519,51-NFD,1.2301
519,511,0.7646
519,512,0.3324
519,515,0.0665
519,517,0.133
519,518,0.8311
519,519,96.6423
