Year,Week,Region,Fregion,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2006,1,NE,1,6640,3810,2270,2090,,,,
2006,2,NE,1,6250,3900,2360,2320,,,,
2006,3,NE,1,11070,6410,3660,3670,,,,
2006,4,NE,1,8700,5050,2870,2880,,,,
2006,5,NE,1,10580,6070,3470,3400,,,,
2006,6,NE,1,10820,6050,3350,3350,,,,
2006,7,NE,1,10520,5900,3230,3310,,,,
2006,8,NE,1,9930,5620,3050,3210,,,,
2006,9,NE,1,8650,4900,2700,2770,,,,
2006,10,NE,1,11100,6280,3420,3550,,,,
2006,11,NE,1,10350,5920,3230,3420,,,,
2006,12,NE,1,10600,6060,3170,3580,,,,
2006,13,NE,1,11030,6170,3340,3490,,,,
2006,14,NE,1,10770,5970,3150,3400,,,,
2006,15,NE,1,9900,5520,2920,3050,,,,
2006,16,NE,1,9440,5170,2740,2850,,,,
2006,17,NE,1,9200,5100,2710,2780,,,,
2006,18,NE,1,9890,5600,3040,3130,,,,
2006,19,NE,1,10030,5800,3000,3340,,,,
2006,20,NE,1,9700,5540,2920,3260,,,,
2006,21,NE,1,9690,5530,2870,3270,,,,
2006,22,NE,1,9110,5190,2720,2960,,,,
2006,23,NE,1,6810,3810,2090,2210,,,,
2006,24,NE,1,8860,5040,2660,2910,,,,
2006,25,NE,1,9800,5610,2960,3180,,,,
2006,26,NE,1,8950,5170,2740,3090,,,,
2006,27,NE,1,8560,4910,2660,2860,,,,
2006,28,NE,1,5860,3350,1810,1960,,,,
2006,29,NE,1,8560,4870,2580,2810,,,,
2006,30,NE,1,8220,4700,2480,2730,,,,
2006,31,NE,1,8380,4740,2520,2670,,,,
2006,32,NE,1,8130,4590,2470,2640,,,,
2006,33,NE,1,8400,4790,2560,2790,,,,
2006,34,NE,1,8260,4570,2400,2540,,,,
2006,35,NE,1,8350,4700,2520,2680,,,,
2006,36,NE,1,8250,4490,2340,2590,,,,
2006,37,NE,1,6040,3450,1810,2010,,,,
2006,38,NE,1,8320,4600,2380,2670,,,,
2006,39,NE,1,8450,4760,2450,2710,,,,
2006,40,NE,1,8750,4900,2590,2730,,,,
2006,41,NE,1,8530,4820,2490,2740,,,,
2006,42,NE,1,6610,3760,1990,2200,,,,
2006,43,NE,1,7560,4370,2260,2550,,,,
2006,44,NE,1,7950,4570,2420,2660,,,,
2006,45,NE,1,8110,4640,2470,2690,,,,
2006,46,NE,1,6280,3550,1890,2020,,,,
2006,47,NE,1,9180,5120,2700,2950,,,,
2006,48,NE,1,6750,3770,1950,2100,,,,
2006,49,NE,1,8110,4690,2450,2670,,,,
2006,50,NE,1,8040,4660,2510,2680,,,,
2006,51,NE,1,7920,4480,2420,2570,,,,
2006,52,NE,1,10460,5920,3190,3390,,,,
2007,1,NE,1,7110,4140,2310,2430,7.08,8.66,1.76,16.27
2007,2,NE,1,3040,1880,1080,1150,-51.36,-51.79,-54.24,-50.43
2007,3,NE,1,13600,8150,4560,4770,22.85,27.15,24.59,29.97
2007,4,NE,1,8860,5100,2760,3000,1.84,0.99,-3.83,4.17
2007,5,NE,1,10130,5790,3090,3360,-4.25,-4.61,-10.95,-1.18
2007,6,NE,1,10590,5930,3220,3260,-2.13,-1.98,-3.88,-2.69
2007,7,NE,1,9960,5550,2910,3090,-5.32,-5.93,-9.91,-6.65
2007,8,NE,1,8870,4910,2580,2820,-10.67,-12.63,-15.41,-12.15
2007,9,NE,1,7940,4310,2270,2360,-8.21,-12.04,-15.93,-14.8
2007,10,NE,1,11020,6020,3030,3320,-0.72,-4.14,-11.4,-6.48
2007,11,NE,1,11210,6300,3260,3640,8.31,6.42,0.93,6.43
2007,12,NE,1,10140,5690,2860,3320,-4.34,-6.11,-9.78,-7.26
2007,13,NE,1,9950,5600,2820,3210,-9.79,-9.24,-15.57,-8.02
2007,14,NE,1,10190,5640,2880,3230,-5.39,-5.53,-8.57,-5.0
2007,15,NE,1,9970,5510,2870,3120,0.71,-0.18,-1.71,2.3
2007,16,NE,1,9180,5060,2640,2710,-2.75,-2.13,-3.65,-4.91
2007,17,NE,1,9880,5350,2730,3030,7.39,4.9,0.74,8.99
2007,18,NE,1,10120,5590,2790,3180,2.33,-0.18,-8.22,1.6
2007,19,NE,1,10200,5740,2970,3320,1.69,-1.03,-1.0,-0.6
2007,20,NE,1,9310,5270,2720,3030,-4.02,-4.87,-6.85,-7.06
2007,21,NE,1,9550,5400,2750,3110,-1.44,-2.35,-4.18,-4.89
2007,22,NE,1,9570,5400,2820,3160,5.05,4.05,3.68,6.76
2007,23,NE,1,7310,4080,2130,2380,7.34,7.09,1.91,7.69
2007,24,NE,1,9690,5400,2790,3080,9.37,7.14,4.89,5.84
2007,25,NE,1,9230,5170,2640,2940,-5.82,-7.84,-10.81,-7.55
2007,26,NE,1,8640,4830,2480,2880,-3.46,-6.58,-9.49,-6.8
2007,27,NE,1,8660,4920,2580,2860,1.17,0.2,-3.01,0.0
2007,28,NE,1,6750,3820,1950,2240,15.19,14.03,7.73,14.29
2007,29,NE,1,8840,4910,2610,2760,3.27,0.82,1.16,-1.78
2007,30,NE,1,8350,4640,2380,2690,1.58,-1.28,-4.03,-1.47
2007,31,NE,1,7800,4300,2230,2470,-6.92,-9.28,-11.51,-7.49
2007,32,NE,1,9450,5220,2680,2940,16.24,13.73,8.5,11.36
2007,33,NE,1,8350,4700,2370,2760,-0.6,-1.88,-7.42,-1.08
2007,34,NE,1,8210,4500,2310,2540,-0.61,-1.53,-3.75,0.0
2007,35,NE,1,8520,4790,2440,2730,2.04,1.91,-3.17,1.87
2007,36,NE,1,8240,4540,2330,2560,-0.12,1.11,-0.43,-1.16
2007,37,NE,1,5490,2980,1490,1670,-9.11,-13.62,-17.68,-16.92
2007,38,NE,1,8210,4590,2260,2670,-1.32,-0.22,-5.04,0.0
2007,39,NE,1,10550,5330,2520,3070,24.85,11.97,2.86,13.28
2007,40,NE,1,9480,4710,2190,2670,8.34,-3.88,-15.44,-2.2
2007,41,NE,1,9640,4770,2080,2860,13.01,-1.04,-16.47,4.38
2007,42,NE,1,7350,3560,1560,2060,11.2,-5.32,-21.61,-6.36
2007,43,NE,1,8920,4370,1890,2520,17.99,0.0,-16.37,-1.18
2007,44,NE,1,8930,4500,2010,2530,12.33,-1.53,-16.94,-4.89
2007,45,NE,1,8630,4290,1870,2510,6.41,-7.54,-24.29,-6.69
2007,46,NE,1,8390,4150,1820,2380,33.6,16.9,-3.7,17.82
2007,47,NE,1,7390,3630,1610,2070,-19.5,-29.1,-40.37,-29.83
2007,48,NE,1,6070,2980,1370,1710,-10.07,-20.95,-29.74,-18.57
2007,49,NE,1,7970,4030,1900,2310,-1.73,-14.07,-22.45,-13.48
2007,50,NE,1,8510,4230,1920,2400,5.85,-9.23,-23.51,-10.45
2007,51,NE,1,8180,4120,1900,2300,3.28,-8.04,-21.49,-10.51
2007,52,NE,1,8600,4270,2080,2400,-17.78,-27.87,-34.8,-29.2
2008,1,NE,1,5740,2880,1490,1620,-19.27,-30.43,-35.5,-33.33
2008,2,NE,1,5930,3210,1670,1870,95.07,70.74,54.63,62.61
2008,3,NE,1,10450,5320,2490,3040,-23.16,-34.72,-45.39,-36.27
2008,4,NE,1,10450,5290,2390,2980,17.95,3.73,-13.41,-0.67
2008,5,NE,1,9060,4470,2030,2490,-10.56,-22.8,-34.3,-25.89
2008,6,NE,1,10220,5060,2220,2760,-3.49,-14.67,-31.06,-15.34
2008,7,NE,1,9870,4970,2250,2790,-0.9,-10.45,-22.68,-9.71
