Year,Week,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2006,1,39250,23240,14950,12790,,,,
2006,2,36820,23820,15810,14410,,,,
2006,3,62920,38330,24430,21690,,,,
2006,4,51520,31460,20260,17260,,,,
2006,5,60890,36520,22800,19900,,,,
2006,6,62150,36940,22800,19660,,,,
2006,7,61010,35780,21850,19090,,,,
2006,8,57310,34070,20710,18880,,,,
2006,9,51590,30430,18480,16940,,,,
2006,10,62790,36750,22150,20380,,,,
2006,11,60420,35580,21440,19990,,,,
2006,12,62050,37130,22060,21490,,,,
2006,13,61480,35950,21310,20240,,,,
2006,14,61820,35900,21240,19870,,,,
2006,15,58660,33990,20110,18800,,,,
2006,16,54410,31130,18220,16940,,,,
2006,17,54380,30900,18170,16950,,,,
2006,18,57510,34470,20140,19730,,,,
2006,19,57960,34820,19920,20190,,,,
2006,20,54740,32680,19320,18700,,,,
2006,21,53660,31780,18740,18170,,,,
2006,22,52000,31000,18570,17560,,,,
2006,23,40010,23360,14130,13340,,,,
2006,24,53280,31250,18660,17710,,,,
2006,25,53250,31570,18680,18140,,,,
2006,26,49930,29620,17660,16700,,,,
2006,27,49640,29540,17630,16870,,,,
2006,28,35110,20690,12470,11880,,,,
2006,29,50740,29850,18020,16660,,,,
2006,30,49510,29170,17450,16570,,,,
2006,31,48530,28690,17250,16100,,,,
2006,32,47990,28390,17120,15980,,,,
2006,33,48700,28530,16740,16200,,,,
2006,34,48430,28290,16810,15650,,,,
2006,35,49740,28940,17360,16070,,,,
2006,36,48930,28110,16640,15710,,,,
2006,37,36610,21500,12760,12340,,,,
2006,38,48140,28080,16440,15860,,,,
2006,39,47960,28250,16420,15880,,,,
2006,40,49440,28770,17010,16250,,,,
2006,41,48890,28530,16860,16050,,,,
2006,42,37270,21990,13010,12610,,,,
2006,43,44790,26380,15520,14740,,,,
2006,44,45350,27030,15970,15190,,,,
2006,45,44650,26740,15950,15250,,,,
2006,46,35320,21260,12520,12030,,,,
2006,47,50420,29930,17710,16960,,,,
2006,48,35580,20800,12300,11390,,,,
2006,49,43280,25920,15560,14620,,,,
2006,50,44560,26710,16070,15100,,,,
2006,51,45450,27230,16690,15290,,,,
2006,52,60750,36290,22300,20160,,,,
2007,1,41290,24980,15820,14290,5.2,7.49,5.82,11.73
2007,2,17610,11020,7110,6500,-52.17,-53.74,-55.03,-54.89
2007,3,74550,45950,28840,25970,18.48,19.88,18.05,19.73
2007,4,50820,31050,19270,17090,-1.36,-1.3,-4.89,-0.98
2007,5,61170,36520,22260,19890,0.46,0.0,-2.37,-0.05
2007,6,61230,36240,22450,19120,-1.48,-1.89,-1.54,-2.75
2007,7,57320,33590,20200,18060,-6.05,-6.12,-7.55,-5.4
2007,8,53940,31660,19110,17150,-5.88,-7.07,-7.73,-9.16
2007,9,45880,26620,15620,14310,-11.07,-12.52,-15.48,-15.53
2007,10,61400,35650,21190,19290,-2.21,-2.99,-4.33,-5.35
2007,11,66080,38690,23040,21490,9.37,8.74,7.46,7.5
2007,12,59570,35210,20680,19880,-4.0,-5.17,-6.26,-7.49
2007,13,59170,34520,20450,19190,-3.76,-3.98,-4.04,-5.19
2007,14,57250,33520,19900,18410,-7.39,-6.63,-6.31,-7.35
2007,15,56110,32410,19330,17370,-4.35,-4.65,-3.88,-7.61
2007,16,53150,30450,18130,15930,-2.32,-2.18,-0.49,-5.96
2007,17,55310,31290,18270,16500,1.71,1.26,0.55,-2.65
2007,18,57440,33890,20200,18390,-0.12,-1.68,0.3,-6.79
2007,19,56260,33110,19720,18240,-2.93,-4.91,-1.0,-9.66
2007,20,53400,31360,18410,17450,-2.45,-4.04,-4.71,-6.68
2007,21,53110,31690,18140,18050,-1.02,-0.28,-3.2,-0.66
2007,22,53770,32070,18960,18140,3.4,3.45,2.1,3.3
2007,23,41370,24380,14510,13750,3.4,4.37,2.69,3.07
2007,24,54460,31750,18850,17710,2.21,1.6,1.02,0.0
2007,25,50740,29680,17570,16570,-4.71,-5.99,-5.94,-8.65
2007,26,50150,29570,17800,16560,0.44,-0.17,0.79,-0.84
2007,27,50740,30090,17910,16840,2.22,1.86,1.59,-0.18
2007,28,38400,22920,13840,12810,9.37,10.78,10.99,7.83
2007,29,48350,28290,16900,15530,-4.71,-5.23,-6.22,-6.78
2007,30,50100,29440,17570,16280,1.19,0.93,0.69,-1.75
2007,31,47290,27190,16140,14730,-2.56,-5.23,-6.43,-8.51
2007,32,52960,31210,18540,17100,10.36,9.93,8.29,7.01
2007,33,48770,28580,16940,15920,0.14,0.18,1.19,-1.73
2007,34,46040,26880,15910,14810,-4.93,-4.98,-5.35,-5.37
2007,35,48260,28390,16580,15910,-2.98,-1.9,-4.49,-1.0
2007,36,50020,29180,17240,16160,2.23,3.81,3.61,2.86
2007,37,35060,19820,11510,10830,-4.23,-7.81,-9.8,-12.24
2007,38,49320,28360,16450,15580,2.45,1.0,0.06,-1.77
2007,39,60570,31870,17050,17510,26.29,12.81,3.84,10.26
2007,40,54480,27810,14130,14970,10.19,-3.34,-16.93,-7.88
2007,41,54650,27820,14150,15340,11.78,-2.49,-16.07,-4.42
2007,42,43150,21600,10470,11780,15.78,-1.77,-19.52,-6.58
2007,43,51140,25220,12170,13500,14.18,-4.4,-21.59,-8.41
2007,44,50340,25450,12700,13450,11.0,-5.85,-20.48,-11.45
2007,45,49040,24810,12370,13290,9.83,-7.22,-22.45,-12.85
2007,46,47940,24090,11700,12840,35.73,13.31,-6.55,6.73
